YEAR	MONTH	STATE	TYPE OF PRODUCER	ENERGY SOURCE	GENERATION (Megawatthours)
2017	1	AK	Total Electric Power Industry	Total	566,684
2017	1	AK	Total Electric Power Industry	Coal	52,279
2017	1	AK	Total Electric Power Industry	Hydroelectric Conventional	166,615
2017	1	AK	Total Electric Power Industry	Natural Gas	222,037
2017	1	AK	Total Electric Power Industry	Other	-320
2017	1	AK	Total Electric Power Industry	Petroleum	110,442
2017	1	AK	Total Electric Power Industry	Other Biomass	3,057
2017	1	AK	Total Electric Power Industry	Wind	12,575
2017	1	AK	Total Electric Power Industry	Wood and Wood Derived Fuels	0
2017	1	AK	Combined Heat and Power, Industrial Power	Total	10,756
2017	1	AK	Combined Heat and Power, Industrial Power	Natural Gas	6,265
2017	1	AK	Combined Heat and Power, Industrial Power	Petroleum	4,491
2017	1	AK	Combined Heat and Power, Industrial Power	Other Biomass	0
2017	1	AK	Combined Heat and Power, Commercial Power	Total	33,374
2017	1	AK	Combined Heat and Power, Commercial Power	Coal	10,493
2017	1	AK	Combined Heat and Power, Commercial Power	Hydroelectric Conventional	18,102
2017	1	AK	Combined Heat and Power, Commercial Power	Natural Gas	466
2017	1	AK	Combined Heat and Power, Commercial Power	Petroleum	1,256
2017	1	AK	Combined Heat and Power, Commercial Power	Other Biomass	3,057
2017	1	AK	Combined Heat and Power, Commercial Power	Wood and Wood Derived Fuels	0
2017	1	AK	Combined Heat and Power, Electric Power	Total	16,546
2017	1	AK	Combined Heat and Power, Electric Power	Coal	16,546
2017	1	AK	Combined Heat and Power, Electric Power	Petroleum	0
2017	1	AK	Combined Heat and Power, Electric Power	Other Biomass	0
2017	1	AK	Combined Heat and Power, Electric Power	Wood and Wood Derived Fuels	0
2017	1	AK	Electric Generators, Independent Power Producers	Total	4,616
2017	1	AK	Electric Generators, Independent Power Producers	Wind	4,616
2017	1	AK	Electric Generators, Electric Utilities	Total	501,392
2017	1	AK	Electric Generators, Electric Utilities	Coal	25,240
2017	1	AK	Electric Generators, Electric Utilities	Hydroelectric Conventional	148,513
2017	1	AK	Electric Generators, Electric Utilities	Natural Gas	215,306
2017	1	AK	Electric Generators, Electric Utilities	Other	-320
2017	1	AK	Electric Generators, Electric Utilities	Petroleum	104,694
2017	1	AK	Electric Generators, Electric Utilities	Wind	7,959
2017	1	AL	Total Electric Power Industry	Total	10,940,022
2017	1	AL	Total Electric Power Industry	Coal	2,528,519
2017	1	AL	Total Electric Power Industry	Hydroelectric Conventional	923,584
2017	1	AL	Total Electric Power Industry	Natural Gas	3,508,602
2017	1	AL	Total Electric Power Industry	Nuclear	3,679,445
2017	1	AL	Total Electric Power Industry	Other Gases	1,675
2017	1	AL	Total Electric Power Industry	Other	0
2017	1	AL	Total Electric Power Industry	Petroleum	6,296
2017	1	AL	Total Electric Power Industry	Solar Thermal and Photovoltaic	7,847
2017	1	AL	Total Electric Power Industry	Other Biomass	3,442
2017	1	AL	Total Electric Power Industry	Wood and Wood Derived Fuels	280,611
2017	1	AL	Combined Heat and Power, Industrial Power	Total	364,568
2017	1	AL	Combined Heat and Power, Industrial Power	Coal	3,147
2017	1	AL	Combined Heat and Power, Industrial Power	Natural Gas	97,808
2017	1	AL	Combined Heat and Power, Industrial Power	Other Gases	1,675
2017	1	AL	Combined Heat and Power, Industrial Power	Other	0
2017	1	AL	Combined Heat and Power, Industrial Power	Petroleum	1,121
2017	1	AL	Combined Heat and Power, Industrial Power	Other Biomass	0
2017	1	AL	Combined Heat and Power, Industrial Power	Wood and Wood Derived Fuels	260,817
2017	1	AL	Combined Heat and Power, Electric Power	Total	314,780
2017	1	AL	Combined Heat and Power, Electric Power	Coal	0
2017	1	AL	Combined Heat and Power, Electric Power	Natural Gas	294,986
2017	1	AL	Combined Heat and Power, Electric Power	Wood and Wood Derived Fuels	19,794
2017	1	AL	Electric Generators, Independent Power Producers	Total	1,806,350
2017	1	AL	Electric Generators, Independent Power Producers	Natural Gas	1,793,344
2017	1	AL	Electric Generators, Independent Power Producers	Petroleum	1,716
2017	1	AL	Electric Generators, Independent Power Producers	Solar Thermal and Photovoltaic	7,847
2017	1	AL	Electric Generators, Independent Power Producers	Other Biomass	3,442
2017	1	AL	Electric Generators, Electric Utilities	Total	8,454,325
2017	1	AL	Electric Generators, Electric Utilities	Coal	2,525,372
2017	1	AL	Electric Generators, Electric Utilities	Hydroelectric Conventional	923,584
2017	1	AL	Electric Generators, Electric Utilities	Natural Gas	1,322,464
2017	1	AL	Electric Generators, Electric Utilities	Nuclear	3,679,445
2017	1	AL	Electric Generators, Electric Utilities	Petroleum	3,459
2017	1	AR	Total Electric Power Industry	Total	5,413,456
2017	1	AR	Total Electric Power Industry	Coal	3,078,044
2017	1	AR	Total Electric Power Industry	Pumped Storage	1,062
