State	Abbrev	Population
Alabama	AL	4,874,486
Alaska	AK	739,700
Arizona	AZ	7,044,008
Arkansas	AR	3,001,345
California	CA	39,358,497
Colorado	CO	5,611,885
Connecticut	CT	3,573,297
Delaware	DE	956,823
District of Columbia	DC	694,906
Florida	FL	20,963,613
Georgia	GA	10,410,330
Hawaii	HI	1,424,393
Idaho	ID	1,717,715
Illinois	IL	12,778,828
Indiana	IN	6,658,078
Iowa	IA	3,141,550
Kansas	KS	2,908,718
Kentucky	KY	4,452,268
Louisiana	LA	4,670,560
Maine	ME	1,334,612
Maryland	MD	6,023,868
Massachusetts	MA	6,859,789
Michigan	MI	9,973,114
Minnesota	MN	5,566,230
Mississippi	MS	2,988,510
Missouri	MO	6,106,670
Montana	MT	1,052,482
Nebraska	NE	1,915,947
Nevada	NV	2,969,905
New Hampshire	NH	1,348,787
New Jersey	NJ	8,885,525
New Mexico	NM	2,091,784
New York	NY	19,589,572
North Carolina	NC	10,268,233
North Dakota	ND	754,942
Ohio	OH	11,659,650
Oklahoma	OK	3,931,316
Oregon	OR	4,143,625
Pennsylvania	PA	12,787,641
Rhode Island	RI	1,055,673
South Carolina	SC	5,021,268
South Dakota	SD	872,868
Tennessee	TN	6,708,799
Texas	TX	28,295,273
Utah	UT	3,101,042
Vermont	VT	624,344
Virginia	VA	8,463,587
Washington	WA	7,423,362
West Virginia	WV	1,817,004
Wisconsin	WI	5,790,186
Wyoming	WY	578,931
